,TickerYahoo,Name,Market Cap,Country,IPO Year,Industry
0,DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),1640705597.00,United Kingdom,2018,EDP Services
0,DAY,Dayforce Inc. Common Stock,8411333000.00,United States,2018,EDP Services
0,DBX,Dropbox Inc. Class A Common Stock,7632392865.00,United States,2018,Computer Software: Prepackaged Software
0,DCBO,Docebo Inc. Common Shares,1151180783.00,Canada,,Computer Software: Prepackaged Software
0,DDD,3D Systems Corporation Common Stock,471689363.00,United States,,Computer Software: Prepackaged Software
0,DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,602569830.00,South Korea,2021,EDP Services
0,DDOG,Datadog Inc. Class A Common Stock,40631570694.00,United States,2019,EDP Services
0,DELL,Dell Technologies Inc. Class C Common Stock ,126055373161.00,United States,2018,Computer Manufacturing
0,DGLY,Digital Ally Inc. Common Stock,8409092.00,United States,,Radio And Television Broadcasting And Communications Equipment
0,DH,Definitive Healthcare Corp. Class A Common Stock,624464305.00,United States,2021,Computer Software: Prepackaged Software
0,DIOD,Diodes Incorporated Common Stock,3331918585.00,United States,,Semiconductors
0,DJT,Trump Media & Technology Group Corp. Common Stock,9100080025.00,United States,2024,Computer Software: Programming Data Processing
0,DLB,Dolby Laboratories Common Stock,7511102140.00,United States,2005,EDP Services
0,DMRC,Digimarc Corporation Common Stock,569599058.00,United States,,EDP Services
0,DOCN,DigitalOcean Holdings Inc. Common Stock,3297961385.00,United States,2021,Computer Software: Programming Data Processing
0,DOCS,Doximity Inc. Class A Common Stock,5273511259.00,United States,2021,EDP Services
0,DOCU,DocuSign Inc. Common Stock,12007541366.00,United States,1989,Computer Software: Prepackaged Software
0,DOMO,Domo Inc. Class B Common Stock,257471292.00,United States,2018,Computer Software: Prepackaged Software
0,DOX,Amdocs Limited Ordinary Shares,9194788358.00,Guernsey,,EDP Services
0,DOYU,DouYu International Holdings Limited ADS,323315566.00,China,2019,Computer Software: Programming Data Processing
0,DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,1413219526.00,China,2010,Semiconductors
0,DSP,Viant Technology Inc. Class A Common Stock,617167425.00,United States,2021,Computer Software: Programming Data Processing
0,DT,Dynatrace Inc. Common Stock,13722182482.00,United States,2019,Computer Software: Prepackaged Software
0,DTSS,Datasea Inc. Common Stock,15075664.00,China,,Computer Software: Prepackaged Software
0,DTST,Data Storage Corporation Common Stock,53815680.00,United States,,EDP Services
0,DUOL,Duolingo Inc. Class A Common Stock,8460559552.00,United States,2021,Computer Software: Prepackaged Software
0,DUOT,Duos Technologies Group Inc. Common Stock,16419729.00,United States,,Computer Software: Prepackaged Software
0,DV,DoubleVerify Holdings Inc. Common Stock,3232350037.00,United States,2021,Computer Software: Programming Data Processing
0,DXC,DXC Technology Company Common Stock ,2767747227.00,United States,,EDP Services
0,EA,Electronic Arts Inc. Common Stock,35209939077.00,United States,,Computer Software: Prepackaged Software
0,EB,Eventbrite Inc. Class A Common Stock,473922537.00,United States,2018,Computer Software: Programming Data Processing
0,EBON,Ebang International Holdings Inc. Class A Ordinary Shares,55132678.00,China,2020,Semiconductors
0,ECX,ECARX Holdings Inc. Class A Ordinary shares,388642460.00,China,,EDP Services
0,EGAN,eGain Corporation Common Stock,178661951.00,United States,1999,Computer Software: Prepackaged Software
0,EGHT,8x8 Inc Common Stock,341650066.00,United States,,EDP Services
0,ELTK,Eltek Ltd. Ordinary Shares,73813696.00,Israel,1997,Electrical Products
0,ELWS,Earlyworks Co. Ltd. American Depositary Shares,6290379.00,Japan,2023,EDP Services
0,EMR,Emerson Electric Company Common Stock,63394401000.00,United States,,Consumer Electronics/Appliances
0,ENPH,Enphase Energy Inc. Common Stock,17278606972.00,United States,2012,Semiconductors
0,ENS,EnerSys Common Stock,4307837802.00,United States,2004,Industrial Machinery/Components
0,ENTG,Entegris Inc. Common Stock,19583289118.00,United States,2000,Semiconductors
0,EPAM,EPAM Systems Inc. Common Stock,10321757013.00,United States,2012,EDP Services
