ETF;ISIN;TER;AUM;Perf. 5 ans;Catégorie;ETF recommandé;Frais;Encours
Amundi Core MSCI EMU Dist;LU1646360971;0.0012;613.0;0.8321999999999999;;;;
iShares DivDAX (DE);DE0002635273;0.0031;589.0;0.5787;;;;
iShares EURO STOXX Select Dividend 30 (DE);DE0002635281;0.0032;535.0;0.727;;;;
iShares MSCI EMU ESG Enhanced CTB EUR (Dist);IE00BHZPHZ28;0.0012;502.0;0.7789;;;;
Xtrackers DAX ESG Screened 1D;LU0838782315;0.0009;456.0;0.711;;;;
BNP Paribas Easy Bloomberg Europe Defense Acc;LU3047998896;0.0018;433.0;;;;;
Global X European Infrastructure Development EUR Accumulating;IE000PS0J481;0.004699999999999999;432.0;;;;;
Amundi MSCI World Swap EUR Dist;LU2655993207;0.0038;376.0;;;;;
iShares MSCI Europe Information Technology Sector EUR (Acc);IE00BMW42413;0.0018;373.0;0.6602;;;;
Amundi MDAX ESG Dist;LU2611731667;0.003;245.0;0.0167;;;;
BNP Paribas Easy S&P 500;FR0011550680;0.0014000000000000002;244.0;0.9911;;;;
iShares MSCI France;IE00BP3QZJ36;0.0025;224.0;0.6899;;;;
iShares Dow Jones Eurozone Sustainability Screened (DE);DE000A0F5UG3;0.0043;211.0;0.8953;;;;
Amundi STOXX Europe 600 Basic Resources Dist;LU2082996385;0.003;211.0;0.7574;;;;
Goldman Sachs Alpha Enhanced World Equity Active CLASS USD (Acc);IE000UFAX9L6;0.0025;149.0;;;;;
BNP Paribas Easy MSCI EMU SRI S-Series PAB 5% Capped;LU1953137681;0.0025;145.0;0.6409999999999999;;;;
Ossiam MSCI Europe 1C/A (EUR);LU3046617984;0.0012;140.0;;;;;
Xtrackers DAX 1D;LU1349386927;0.0009;138.0;;;;;
Amundi MSCI EMU ESG Broad Transition Dist;LU0908501132;0.0012;134.0;0.8023;;;;
Amundi MSCI EMU ESG Selection DR – EUR (D);LU2059756325;0.0025;134.0;0.6577;;;;
Amundi PEA MSCI USA ESG Selection – USD;LU1681042948;0.0034999999999999996;134.0;0.7483;;;;
Goldman Sachs EUR High Yield Bond Active CLASS EUR (Dist);IE000M02BVY5;0.0034999999999999996;130.0;;;;;
WisdomTree Europe Equity Income;IE00BQZJBX31;0.0029;130.0;0.9545;;;;
Amundi Russell 2000 USD;LU1681038839;0.0034999999999999996;124.0;0.2873;;;;
Amundi PEA Dow Jones Industrial Average Dist;LU2572256662;0.0045000000000000005;118.0;;;;;
Goldman Sachs Alpha Enhanced Europe Equity Active CLASS EUR (Acc);IE000RITWOD4;0.0025;114.0;;;;;
Goldman Sachs USD High Yield Bond Active CLASS USD (Dist);IE0006B9CPY7;0.0034999999999999996;111.0;;;;;
Amundi STOXX Europe 600 Banks Dist;LU2082996112;0.003;100.0;2.7571;;;;
Goldman Sachs Alpha Enhanced US Equity Active USD (Acc);IE000HYFO765;0.002;77.0;;;;;
Amundi STOXX Europe 600 Healthcare Dist;LU2082997516;0.003;75.0;0.5295000000000001;;;;
Amundi CAC 40 ESG DR – EUR (D);LU1681047079;0.0025;71.0;0.6989;;;;
iShares AEX EUR (Acc);IE00BMTX2B82;0.003;62.0;0.7179000000000001;;;;
BNP Paribas Easy Growth Europe Acc;LU2244387887;0.0031;60.0;;;;;
BNP Paribas Easy Dividend Europe;LU1615090864;0.0031;45.0;0.8602;;;;
Amundi PEA S&P US Consumer Staples Screened Acc;FR001400KE06;0.005;45.0;;;;;
Amundi PEA MSCI USA Value Advanced Acc;FR001400KH45;0.005;42.0;;;;;
Ossiam MSCI EMU 1C;LU3078637314;0.0012;41.0;;;;;
Amundi STOXX Europe 600 Consumer Staples Dist;LU2082997359;0.003;37.0;0.2519;;;;
Amundi STOXX Europe 600 Industrials Dist;LU2082997789;0.003;36.0;0.9439;;;;
WisdomTree Europe Equity Income Acc;IE00BDF16007;0.0029;33.0;0.9545;;;;
Amundi STOXX Europe 600 Insurance Dist;LU2082997946;0.003;32.0;1.138;;;;
BNP Paribas Easy MSCI EMU Acc;LU3215536486;0.0006;32.0;;;;;
Amundi STOXX Europe 600 Technology Dist;LU2082998837;0.003;29.0;0.4007;;;;
Goldman Sachs Emerging Markets Green and Social Bond Active EUR Hedged (Dist);IE000GZD8ME7;0.0055000000000000005;26.0;;;;;
Goldman Sachs EUR Investment Grade Corporate Bond Active CLASS EUR (Dist);IE0009EDBBS3;0.0025;26.0;;;;;
iShares S&P 500 Swap PEA EUR (Acc);IE000DQLYVB9;0.001;25.0;;;;;
Amundi EURO STOXX 50 II GBP Hedged Acc;FR0012399772;0.002;24.0;1.0567;;;;
Xtrackers DAX ESG Screened 2C USD Hedged;LU1221100792;0.0019;12.0;0.9414;;;;
Amundi European Strategic Autonomy Acc;LU3180074463;0.004;9.0;;;;;
BNP Paribas Easy Bloomberg Europe Defense Dist;LU3047998979;0.0018;9.0;;;;;
WisdomTree Eurozone Quality Dividend Growth EUR Dist;IE00BZ56SY76;0.0029;9.0;0.4093;;;;
Goldman Sachs EUR Government Bond Active EUR (Acc);IE0000MK7GG1;0.0015;6.0;;;;;
BNP Paribas Easy Low Volatility Europe;LU1481201025;0.0031;6.0;0.7341;;;;
BNP Paribas Easy Quality Europe;LU1481201611;0.0031;6.0;0.5501;;;;
BNP Paribas Easy Value Europe;LU1481201702;0.0031;5.0;0.6356;;;;
Amundi PEA Emergent (MSCI Emerging) ESG Transition S – Acc;FR001400ZGO4;0.003;5.0;;;;;
Goldman Sachs Emerging Markets Hard Currency Bond Active USD (Acc);IE000M3UHD88;0.0045000000000000005;0.0;;;;;
