Name,Isin,TickerYahoo,Market,Currency
AMUNDI SP500 C,LU1135865084,SP5C.PA,Euronext Paris,EUR
AMUNDI SP500 H EUR,LU1681049109,500H.PA,Euronext Paris,EUR
AMUNDI SP500 PEA,FR0011871128,PSP5.PA,Euronext Paris,EUR
AMUNDI ST EU BA RE,LU1834983550,BRES.PA,Euronext Paris,EUR
AMUNDI ST EU ENERG,LU1834988278,ENRG.PA,Euronext Paris,EUR
AMUNDI ST EU HLTHC,LU1834986900,HLT.PA,Euronext Paris,EUR
AMUNDI ST EU UTILI,LU1834988864,UTI.PA,Euronext Paris,EUR
AMUNDI STOXX GL AI,LU1861132840,GOAI.PA,Euronext Paris,EUR
AMUNDI STX 600 INS,LU1834987973,INS.PA,Euronext Paris,EUR
AMUNDI STX EU BANK,LU1834983477,BNK.PA,Euronext Paris,EUR
AMUNDI STX EU SDIV,LU1812092168,SEL.PA,Euronext Paris,EUR
AMUNDI STX EU TECH,LU1834988518,TNO.PA,Euronext Paris,EUR
AMUNDI STX EU TELE,LU1834988609,TELE.PA,Euronext Paris,EUR
AMUNDI SX50 DDS,FR0010424143,BXX.PA,Euronext Paris,EUR
AMUNDI TOPIX DH,FR0011475078,JPNH.PA,Euronext Paris,EUR
AMUNDI TOPIX EUR,LU1681037609,TPXE.PA,Euronext Paris,EUR
AMUNDI TOPIX HDG,LU1681037864,TPXH.PA,Euronext Paris,EUR
AMUNDI TOPIX JPY,LU1681037781,TPXY.PA,Euronext Paris,JPY
AMUNDI TPX CHF DH,LU1681038169,TPHC.PA,Euronext Paris,CHF
AMUNDI TPX GBP HD,LU1681038086,TPHG.PA,Euronext Paris,GBP
AMUNDI TPX USD HD,LU1681037948,TPHU.PA,Euronext Paris,USD
AMUNDI UK Gov Infl,LU1407893301,GILI.PA,Euronext Paris,EUR
AMUNDI US CORP SRI,LU1806495575,UCRP.PA,Euronext Paris,USD
AMUNDI US MIN VO,LU1589349734,MIVU.PA,Euronext Paris,EUR
AMUNDI US STEEPEN,LU2018762653,STPU.PA,Euronext Paris,EUR
AMUNDI US TIPS,LU1525419294,UIFL.PA,Euronext Paris,USD
AMUNDI US-T 10Y+,LU2338178648,U10HK.PA,Euronext Paris,HKD
